"Region" "Treat" "X" "RegionTreat"
"1" "NA" "Placebo" 0 "NA:Placebo"
"2" "NA" "Placebo" 0 "NA:Placebo"
"3" "NA" "Placebo" 0 "NA:Placebo"
"4" "NA" "Placebo" 0 "NA:Placebo"
"5" "NA" "Placebo" 1 "NA:Placebo"
"6" "NA" "High" 0 "NA:High"
"7" "NA" "High" 0 "NA:High"
"8" "NA" "Placebo" 0 "NA:Placebo"
"9" "NA" "High" 0 "NA:High"
"10" "NA" "Placebo" 0 "NA:Placebo"
"11" "NA" "High" 0 "NA:High"
"12" "NA" "Placebo" 0 "NA:Placebo"
"13" "NA" "Placebo" 0 "NA:Placebo"
"14" "NA" "Placebo" 0 "NA:Placebo"
"15" "NA" "High" 0 "NA:High"
"16" "NA" "Placebo" 0 "NA:Placebo"
"17" "NA" "Placebo" 0 "NA:Placebo"
"18" "NA" "Placebo" 0 "NA:Placebo"
"19" "NA" "Placebo" 0 "NA:Placebo"
"20" "NA" "Placebo" 0 "NA:Placebo"
"21" "NA" "High" 0 "NA:High"
"22" "NA" "High" 0 "NA:High"
"23" "NA" "Placebo" 0 "NA:Placebo"
"24" "NA" "Placebo" 0 "NA:Placebo"
"25" "NA" "Placebo" 0 "NA:Placebo"
"26" "NA" "High" 0 "NA:High"
"27" "NA" "High" 0 "NA:High"
"28" "NA" "High" 0 "NA:High"
"29" "NA" "High" 0 "NA:High"
"30" "NA" "High" 1 "NA:High"
"31" "NA" "High" 1 "NA:High"
"32" "NA" "High" 1 "NA:High"
"33" "NA" "Placebo" 0 "NA:Placebo"
"34" "NA" "High" 0 "NA:High"
"35" "NA" "Placebo" 0 "NA:Placebo"
"36" "NA" "High" 0 "NA:High"
"37" "NA" "Placebo" 0 "NA:Placebo"
"38" "NA" "Placebo" 0 "NA:Placebo"
"39" "NA" "Placebo" 0 "NA:Placebo"
"40" "NA" "Placebo" 1 "NA:Placebo"
"41" "NA" "Placebo" 0 "NA:Placebo"
"42" "NA" "High" 0 "NA:High"
"43" "NA" "High" 0 "NA:High"
"44" "NA" "High" 0 "NA:High"
"45" "NA" "High" 0 "NA:High"
"46" "NA" "High" 1 "NA:High"
"47" "NA" "High" 0 "NA:High"
"48" "NA" "Placebo" 0 "NA:Placebo"
"49" "NA" "Placebo" 0 "NA:Placebo"
"50" "NA" "High" 0 "NA:High"
"51" "NA" "High" 0 "NA:High"
"52" "NA" "High" 0 "NA:High"
"53" "NA" "High" 0 "NA:High"
"54" "NA" "Placebo" 0 "NA:Placebo"
"55" "NA" "Placebo" 0 "NA:Placebo"
"56" "NA" "High" 0 "NA:High"
"57" "NA" "Placebo" 0 "NA:Placebo"
"58" "NA" "High" 0 "NA:High"
"59" "NA" "High" 0 "NA:High"
"60" "NA" "Placebo" 0 "NA:Placebo"
"61" "NA" "High" 1 "NA:High"
"62" "NA" "Placebo" 0 "NA:Placebo"
"63" "NA" "Placebo" 0 "NA:Placebo"
"64" "NA" "High" 1 "NA:High"
"65" "NA" "High" 0 "NA:High"
"66" "NA" "High" 0 "NA:High"
"67" "NA" "High" 0 "NA:High"
"68" "NA" "Placebo" 0 "NA:Placebo"
"69" "NA" "High" 0 "NA:High"
"70" "NA" "Placebo" 0 "NA:Placebo"
"71" "NA" "Placebo" 0 "NA:Placebo"
"72" "NA" "High" 0 "NA:High"
"73" "NA" "Placebo" 1 "NA:Placebo"
"74" "NA" "High" 0 "NA:High"
"75" "NA" "High" 0 "NA:High"
"76" "NA" "Placebo" 0 "NA:Placebo"
"77" "NA" "Placebo" 0 "NA:Placebo"
"78" "NA" "Placebo" 0 "NA:Placebo"
"79" "NA" "High" 0 "NA:High"
"80" "NA" "High" 0 "NA:High"
"81" "NA" "High" 1 "NA:High"
"82" "NA" "Placebo" 0 "NA:Placebo"
"83" "NA" "Placebo" 1 "NA:Placebo"
"84" "NA" "Placebo" 0 "NA:Placebo"
"85" "NA" "Placebo" 0 "NA:Placebo"
"86" "NA" "High" 0 "NA:High"
"87" "NA" "Placebo" 1 "NA:Placebo"
"88" "NA" "Placebo" 0 "NA:Placebo"
"89" "NA" "Placebo" 0 "NA:Placebo"
"90" "NA" "High" 0 "NA:High"
"91" "NA" "High" 0 "NA:High"
"92" "NA" "Placebo" 0 "NA:Placebo"
"93" "NA" "High" 0 "NA:High"
"94" "NA" "Placebo" 0 "NA:Placebo"
"95" "NA" "Placebo" 0 "NA:Placebo"
"96" "NA" "Placebo" 0 "NA:Placebo"
"97" "NA" "High" 0 "NA:High"
"98" "NA" "High" 0 "NA:High"
"99" "WE" "High" 0 "WE:High"
"100" "NA" "Placebo" 0 "NA:Placebo"
"101" "WE" "High" 0 "WE:High"
"102" "WE" "High" 0 "WE:High"
"103" "NA" "Placebo" 0 "NA:Placebo"
"104" "WE" "High" 0 "WE:High"
"105" "WE" "High" 0 "WE:High"
"106" "WE" "High" 0 "WE:High"
"107" "NA" "Placebo" 0 "NA:Placebo"
"108" "WE" "High" 0 "WE:High"
"109" "NA" "Placebo" 0 "NA:Placebo"
"110" "WE" "High" 1 "WE:High"
"111" "WE" "High" 0 "WE:High"
"112" "WE" "High" 0 "WE:High"
"113" "NA" "Placebo" 0 "NA:Placebo"
"114" "NA" "Placebo" 0 "NA:Placebo"
"115" "NA" "Placebo" 0 "NA:Placebo"
"116" "WE" "High" 0 "WE:High"
"117" "WE" "Placebo" 0 "WE:Placebo"
"118" "WE" "Placebo" 0 "WE:Placebo"
"119" "WE" "Placebo" 1 "WE:Placebo"
"120" "WE" "High" 0 "WE:High"
"121" "WE" "High" 1 "WE:High"
"122" "WE" "High" 0 "WE:High"
"123" "WE" "High" 0 "WE:High"
"124" "NA" "High" 0 "NA:High"
"125" "WE" "Placebo" 0 "WE:Placebo"
"126" "NA" "High" 0 "NA:High"
"127" "WE" "Placebo" 0 "WE:Placebo"
"128" "NA" "High" 0 "NA:High"
"129" "WE" "Placebo" 0 "WE:Placebo"
"130" "NA" "High" 0 "NA:High"
"131" "NA" "High" 0 "NA:High"
"132" "WE" "Placebo" 0 "WE:Placebo"
"133" "WE" "Placebo" 1 "WE:Placebo"
"134" "WE" "Placebo" 0 "WE:Placebo"
"135" "WE" "Placebo" 0 "WE:Placebo"
"136" "NA" "High" 0 "NA:High"
"137" "WE" "Placebo" 0 "WE:Placebo"
"138" "WE" "Placebo" 0 "WE:Placebo"
"139" "WE" "Placebo" 1 "WE:Placebo"
"140" "WE" "Placebo" 0 "WE:Placebo"
"141" "NA" "Placebo" 0 "NA:Placebo"
"142" "NA" "Placebo" 0 "NA:Placebo"
"143" "NA" "High" 0 "NA:High"
"144" "NA" "Placebo" 1 "NA:Placebo"
"145" "NA" "High" 0 "NA:High"
"146" "NA" "Placebo" 0 "NA:Placebo"
"147" "NA" "Placebo" 0 "NA:Placebo"
"148" "NA" "High" 0 "NA:High"
"149" "NA" "Placebo" 1 "NA:Placebo"
"150" "NA" "High" 0 "NA:High"
"151" "NA" "Placebo" 0 "NA:Placebo"
"152" "NA" "Placebo" 0 "NA:Placebo"
"153" "NA" "High" 0 "NA:High"
"154" "NA" "High" 1 "NA:High"
"155" "NA" "Placebo" 1 "NA:Placebo"
"156" "NA" "High" 0 "NA:High"
"157" "NA" "High" 0 "NA:High"
"158" "NA" "Placebo" 0 "NA:Placebo"
"159" "NA" "High" 0 "NA:High"
"160" "NA" "Placebo" 0 "NA:Placebo"
"161" "WE" "High" 0 "WE:High"
"162" "NA" "Placebo" 0 "NA:Placebo"
"163" "NA" "Placebo" 0 "NA:Placebo"
"164" "WE" "High" 0 "WE:High"
"165" "WE" "High" 0 "WE:High"
"166" "WE" "High" 0 "WE:High"
"167" "WE" "High" 1 "WE:High"
"168" "WE" "High" 0 "WE:High"
"169" "WE" "High" 0 "WE:High"
"170" "NA" "Placebo" 0 "NA:Placebo"
"171" "WE" "High" 1 "WE:High"
"172" "NA" "High" 0 "NA:High"
"173" "NA" "High" 0 "NA:High"
"174" "NA" "Placebo" 0 "NA:Placebo"
"175" "NA" "High" 1 "NA:High"
"176" "NA" "Placebo" 0 "NA:Placebo"
"177" "NA" "High" 0 "NA:High"
"178" "NA" "High" 0 "NA:High"
"179" "NA" "High" 0 "NA:High"
"180" "NA" "High" 0 "NA:High"
"181" "NA" "High" 0 "NA:High"
"182" "NA" "High" 1 "NA:High"
"183" "NA" "High" 0 "NA:High"
"184" "NA" "High" 0 "NA:High"
"185" "NA" "High" 0 "NA:High"
"186" "NA" "High" 0 "NA:High"
"187" "NA" "High" 0 "NA:High"
"188" "WE" "Placebo" 1 "WE:Placebo"
"189" "WE" "Placebo" 0 "WE:Placebo"
"190" "NA" "High" 0 "NA:High"
"191" "WE" "Placebo" 0 "WE:Placebo"
"192" "NA" "High" 0 "NA:High"
"193" "WE" "Placebo" 0 "WE:Placebo"
"194" "NA" "High" 0 "NA:High"
"195" "WE" "Placebo" 0 "WE:Placebo"
"196" "WE" "Placebo" 0 "WE:Placebo"
"197" "NA" "High" 0 "NA:High"
"198" "NA" "High" 0 "NA:High"
"199" "NA" "High" 0 "NA:High"
"200" "NA" "High" 0 "NA:High"
"201" "NA" "High" 0 "NA:High"
"202" "NA" "High" 0 "NA:High"
"203" "NA" "High" 0 "NA:High"
"204" "NA" "High" 0 "NA:High"
"205" "NA" "High" 0 "NA:High"
"206" "NA" "High" 0 "NA:High"
"207" "NA" "High" 0 "NA:High"
"208" "NA" "High" 1 "NA:High"
"209" "NA" "High" 0 "NA:High"
"210" "NA" "High" 0 "NA:High"
"211" "NA" "High" 0 "NA:High"
"212" "NA" "High" 0 "NA:High"
"213" "NA" "High" 0 "NA:High"
"214" "NA" "High" 0 "NA:High"
"215" "NA" "High" 0 "NA:High"
"216" "NA" "High" 0 "NA:High"
"217" "NA" "High" 0 "NA:High"
"218" "NA" "High" 0 "NA:High"
"219" "NA" "High" 0 "NA:High"
"220" "NA" "High" 0 "NA:High"
"221" "NA" "High" 0 "NA:High"
"222" "NA" "High" 0 "NA:High"
"223" "NA" "High" 0 "NA:High"
"224" "NA" "High" 0 "NA:High"
"225" "NA" "High" 1 "NA:High"
"226" "NA" "High" 0 "NA:High"
"227" "NA" "High" 0 "NA:High"
"228" "NA" "High" 0 "NA:High"
"229" "NA" "High" 0 "NA:High"
"230" "NA" "High" 0 "NA:High"
"231" "NA" "High" 0 "NA:High"
"232" "WE" "High" 1 "WE:High"
"233" "WE" "High" 0 "WE:High"
"234" "WE" "High" 0 "WE:High"
"235" "WE" "High" 0 "WE:High"
"236" "WE" "High" 0 "WE:High"
"237" "WE" "High" 1 "WE:High"
"238" "WE" "High" 0 "WE:High"
"239" "WE" "High" 1 "WE:High"
"240" "WE" "High" 0 "WE:High"
"241" "WE" "High" 0 "WE:High"
"242" "WE" "High" 0 "WE:High"
"243" "WE" "High" 0 "WE:High"
"244" "WE" "High" 1 "WE:High"
"245" "WE" "High" 0 "WE:High"
